SrNo,JuzNo,SurahNo,AyahNo,EnglishTranslation,OrignalArabicText,ArabicText,ArabicWordCount,ArabicLetterCount
1,1,1,1,"In the name of Allah, Most Gracious, Most Merciful.",?????? ??????? ???????????? ??????????,??? ???? ?????? ??????,4,19
2,1,1,2,"Praise be to Allah, the Cherisher and Sustainer of the worlds;",????????? ??????? ????? ?????????????,????? ??? ?? ????????,4,18
3,1,1,3,"Most Gracious, Most Merciful;",???????????? ??????????,?????? ??????,2,12
4,1,1,4,Master of the Day of Judgment.,??????? ?????? ????????,???? ??? ?????,3,12
5,1,1,5,"Thee do we worship, and Thine aid we seek.",???????? ???????? ?????????? ???????????,???? ???? ????? ??????,4,19
6,1,1,6,"Show us the straight way,",???????? ?????????? ??????????????,????? ?????? ????????,3,19
7,1,1,7,"The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray.",??????? ????????? ?????????? ?????????? ?????? ???????????? ?????????? ????? ????????????,???? ????? ????? ????? ??? ??????? ????? ??? ???????,9,44
8,1,2,1,A. L. M.,???,???,1,3
9,1,2,2,"This is the Book; in it is guidance sure, without doubt, to those who fear Allah;",??????? ?????????? ??? ?????? ? ????? ? ????? ??????????????,??? ?????? ?? ??? ? ??? ? ???? ???????,9,30
10,1,2,3,"Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;",????????? ??????????? ??????????? ???????????? ?????????? ???????? ????????????? ???????????,????? ?????? ?????? ??????? ?????? ???? ??????? ??????,8,47
11,1,2,4,"And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter.",??????????? ??????????? ????? ???????? ???????? ????? ???????? ???? ???????? ?????????????? ???? ??????????,?????? ?????? ??? ???? ???? ??? ???? ?? ???? ???????? ?? ??????,12,52
12,1,2,5,"They are on (true) guidance, from their Lord, and it is these who will prosper.",?????????? ?????? ????? ???? ????????? ? ???????????? ???? ??????????????,????? ??? ???? ?? ???? ? ?????? ?? ????????,9,35
13,1,2,6,"As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe.",????? ????????? ???????? ??????? ?????????? ???????????????? ???? ???? ???????????? ??? ???????????,?? ????? ????? ???? ????? ???????? ?? ?? ?????? ?? ??????,11,47
14,1,2,7,"Allah hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur).",?????? ??????? ?????? ??????????? ???????? ?????????? ? ???????? ????????????? ????????? ? ???????? ??????? ???????,??? ???? ??? ?????? ???? ????? ? ???? ??????? ????? ? ???? ???? ????,14,55
15,1,2,8,"Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe.",?????? ???????? ???? ??????? ??????? ????????? ????????????? ???????? ????? ???? ?????????????,??? ????? ?? ???? ???? ????? ??????? ????? ??? ?? ???????,11,47
16,1,2,9,"Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not!",???????????? ??????? ??????????? ??????? ????? ??????????? ?????? ???????????? ????? ???????????,??????? ???? ?????? ????? ??? ?????? ??? ?????? ??? ??????,10,49
17,1,2,10,"In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur), because they are false (to themselves).",??? ??????????? ?????? ??????????? ??????? ??????? ? ???????? ??????? ??????? ????? ??????? ???????????,?? ?????? ??? ?????? ???? ????? ? ???? ???? ???? ??? ????? ??????,13,53
18,1,2,11,"When it is said to them: ""Make not mischief on the earth,"" they say: ""Why, we only Want to make peace!""",??????? ????? ?????? ??? ?????????? ??? ????????? ??????? ???????? ?????? ???????????,???? ??? ??? ?? ?????? ?? ????? ????? ???? ??? ??????,11,43
19,1,2,12,"Of a surety, they are the ones who make mischief, but they realise (it) not.",????? ????????? ???? ?????????????? ????????? ??? ???????????,??? ???? ?? ???????? ???? ?? ??????,7,29
20,1,2,13,"When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay, of a surety they are the fools, but they do not know.",??????? ????? ?????? ??????? ????? ????? ???????? ??????? ?????????? ????? ????? ???????????? ? ????? ????????? ???? ???????????? ????????? ??? ???????????,???? ??? ??? ????? ??? ??? ????? ????? ????? ??? ??? ??????? ? ??? ???? ?? ??????? ???? ?? ??????,20,78
21,1,2,14,"When they meet those who believe, they say: ""We believe;"" but when they are alone with their evil ones, they say: ""We are really with you: We (were) only jesting.""",??????? ?????? ????????? ??????? ??????? ??????? ??????? ??????? ?????? ?????????????? ??????? ?????? ???????? ???????? ?????? ???????????????,???? ???? ????? ????? ????? ???? ???? ???? ??? ???????? ????? ??? ???? ???? ??? ????????,16,73
22,1,2,15,"Allah will throw back their mockery on them, and give them rope in their trespasses; so they will wander like blind ones (To and fro).",??????? ???????????? ?????? ????????????? ??? ????????????? ???????????,???? ?????? ??? ?????? ?? ??????? ??????,7,34
23,1,2,16,"These are they who have bartered Guidance for error: But their traffic is profitless, and they have lost true direction,",?????????? ????????? ?????????? ???????????? ??????????? ????? ???????? ????????????? ????? ??????? ???????????,????? ????? ?????? ??????? ?????? ??? ???? ??????? ??? ????? ??????,11,57
24,1,2,17,"Their similitude is that of a man who kindled a fire; when it lighted all around him, Allah took away their light and left them in utter darkness. So they could not see.",?????????? ???????? ??????? ??????????? ?????? ???????? ????????? ??? ???????? ?????? ??????? ??????????? ???????????? ??? ????????? ??? ???????????,????? ???? ???? ?????? ????? ???? ????? ?? ???? ??? ???? ?????? ?????? ?? ?????? ?? ??????,17,74
25,1,2,18,"Deaf, dumb, and blind, they will not return (to the path).",????? ?????? ?????? ?????? ??? ???????????,?? ??? ??? ??? ?? ??????,6,19
26,1,2,19,"Or (another similitude) is that of a rain-laden cloud from the sky: In it are zones of darkness, and thunder and lightning: They press their fingers in their ears to keep out the stunning thunder-clap, the while they are in terror of death. But Allah is ever round the rejecters of Faith!",???? ????????? ???? ?????????? ????? ????????? ???????? ???????? ??????????? ????????????? ??? ?????????? ???? ???????????? ?????? ????????? ? ????????? ??????? ???????????????,?? ????? ?? ?????? ??? ????? ???? ???? ?????? ??????? ?? ?????? ?? ??????? ??? ????? ? ????? ???? ?????????,20,88
27,1,2,20,"The lightning all but snatches away their sight; every time the light (Helps) them, they walk therein, and when the darkness grows on them, they stand still. And if Allah willed, He could take away their faculty of hearing and seeing; for Allah hath power over all things.",??????? ????????? ???????? ????????????? ? ???????? ??????? ?????? ??????? ????? ??????? ???????? ?????????? ??????? ? ?????? ????? ??????? ???????? ???????????? ??????????????? ? ????? ??????? ?????? ????? ?????? ???????,???? ????? ???? ??????? ? ???? ???? ??? ???? ??? ???? ???? ????? ????? ? ??? ??? ???? ???? ?????? ???????? ? ?? ???? ??? ?? ???? ????,28,106
28,1,2,21,"O ye people! Adore your Guardian-Lord, who created you and those who came before you, that ye may have the chance to learn righteousness;",??? ???????? ???????? ????????? ????????? ??????? ?????????? ??????????? ???? ?????????? ??????????? ??????????,?? ???? ????? ?????? ???? ???? ????? ?????? ?? ????? ????? ?????,12,53
29,1,2,22,"Who has made the earth your couch, and the heavens your canopy; and sent down rain from the heavens; and brought forth therewith Fruits for your sustenance; then set not up rivals unto Allah when ye know (the truth).",??????? ?????? ?????? ????????? ???????? ???????????? ??????? ?????????? ???? ?????????? ????? ?????????? ???? ???? ???????????? ??????? ?????? ? ????? ?????????? ??????? ?????????? ?????????? ???????????,???? ??? ??? ????? ?????? ??????? ????? ????? ?? ?????? ???? ????? ?? ?? ??????? ????? ??? ? ??? ?????? ??? ??????? ????? ??????,24,105
30,1,2,23,"And if ye are in doubt as to what We have revealed from time to time to Our servant, then produce a Sura like thereunto; and call your witnesses or helpers (If there are any) besides Allah, if your (doubts) are true.",?????? ???????? ??? ?????? ?????? ?????????? ?????? ????????? ???????? ????????? ???? ???????? ????????? ????????????? ???? ????? ??????? ???? ???????? ??????????,??? ???? ?? ???? ??? ????? ??? ????? ????? ?????? ?? ???? ?????? ??????? ?? ??? ???? ?? ???? ??????,20,80
31,1,2,24,"But if ye cannot- and of a surety ye cannot- then fear the Fire whose fuel is men and stones,- which is prepared for those who reject Faith.",?????? ???? ?????????? ?????? ?????????? ?????????? ???????? ??????? ?????????? ???????? ?????????????? ? ????????? ??????????????,??? ?? ?????? ??? ?????? ?????? ????? ???? ?????? ????? ???????? ? ???? ????????,14,67
