سورة,121
الفاتحة,1
"",227
بسم,115
الله,2265
الرحمان,158
الرحيم,146
الحمد,26
لله,116
رب,128
العالمين,61
مالك,2
يوم,217
الدين,47
إياك,1
نعبد,6
وإياك,1
نستعين,1
اهدنا,1
الصراط,6
المستقيم,5
صراط,32
الذين,811
انعمت,7
عليهم,214
غير,69
المغضوب,1
ولا,658
الضالين,6
البقرة,1
الم,84
ذالك,280
الكتاب,163
لا,812
ريب,17
فيه,127
هدى,35
للمتقين,18
يؤمنون,86
بالغيب,12
ويقيمون,2
الصلواة,58
ومما,11
رزقناهم,10
ينفقون,20
والذين,164
بما,296
انزل,95
إليك,77
وما,644
من,2763
قبلك,33
وبالاخرة,1
هم,261
يوقنون,11
اولائك,133
علىا,428
ربهم,111
واولائك,25
المفلحون,12
إن,966
كفروا,189
سواء,26
ءانذرتهم,2
ام,130
لم,178
تنذرهم,2
ختم,1
قلوبهم,65
وعلىا,16
سمعهم,3
ابصارهم,9
غشاوة,2
ولهم,43
عذاب,150
عظيم,49
ومن,342
الناس,183
يقول,39
ءامنا,37
بالله,139
وباليوم,1
الاخر,29
بمؤمنين,6
يخادعون,2
ءامنوا,263
يخدعون,1
إلا,664
انفسهم,72
يشعرون,21
في,1185
مرض,12
فزادهم,2
مرضا,1
اليم,60
كانوا,229
يكذبون,6
وإذا,134
قيل,34
لهم,373
تفسدوا,4
الارض,287
قالوا,250
إنما,113
نحن,65
مصلحون,2
الا,99
إنهم,63
المفسدون,1
ولاكن,112
كما,59
ءامن,27
انؤمن,3
السفهاء,5
يعلمون,82
لقوا,2
خلوا,7
إلىا,265
شياطينهم,1
إنا,156
معكم,26
مستهزءون,1
يستهزئ,1
بهم,41
ويمدهم,1
طغيانهم,5
يعمهون,7
اشتروا,6
الضلالة,6
بالهدىا,7
فما,86
ربحت,1
تجارتهم,1
مهتدين,3
مثلهم,5
كمثل,13
الذي,268
استوقد,1
نارا,19
فلما,101
اضاءت,1
ما,1010
حوله,5
ذهب,11
بنورهم,1
وتركهم,1
ظلمات,8
يبصرون,11
صم,3
بكم,37
عمي,3
فهم,41
يرجعون,22
او,280
كصيب,1
السماء,109
ورعد,1
وبرق,1
يجعلون,2
اصابعهم,2
ءاذانهم,7
الصواعق,2
حذر,2
الموت,35
والله,240
محيط,7
بالكافرين,3
يكاد,6
البرق,3
يخطف,1
كلما,12
اضاء,1
مشوا,1
اظلم,17
قاموا,4
ولو,111
شاء,56
لذهب,2
بسمعهم,1
وابصارهم,4
كل,245
شيء,190
قدير,37
ياايها,142
اعبدوا,17
ربكم,102
خلقكم,18
قبلكم,18
لعلكم,59
تتقون,19
جعل,45
لكم,337
فراشا,1
والسماء,9
بناء,3
وانزل,12
ماء,35
فاخرج,7
به,327
الثمرات,11
رزقا,15
فلا,156
تجعلوا,5
اندادا,6
وانتم,45
تعلمون,56
وإن,254
كنتم,188
مما,111
نزلنا,6
عبدنا,6
فاتوا,11
بسورة,2
مثله,11
وادعوا,5
شهداءكم,2
دون,91
صادقين,31
فإن,168
تفعلوا,9
ولن,22
فاتقوا,17
النار,102
التي,57
وقودها,2
والحجارة,2
اعدت,4
للكافرين,23
وبشر,11
وعملوا,53
الصالحات,61
ان,638
جنات,62
تجري,48
تحتها,36
الانهار,43
رزقوا,1
منها,86
ثمرة,1
هاذا,190
رزقنا,1
قبل,118
واتوا,2
متشابها,3
فيها,241
ازواج,7
مطهرة,5
وهم,137
خالدون,24
يستحي,2
يضرب,4
مثلا,20
بعوضة,1
فوقها,3
فاما,22
فيعلمون,1
انه,23
الحق,109
واما,28
فيقولون,1
ماذا,22
اراد,18
بهاذا,14
يضل,17
كثيرا,46
ويهدي,9
الفاسقين,11
ينقضون,4
عهد,8
بعد,149
ميثاقه,2
ويقطعون,2
امر,41
يوصل,3
ويفسدون,2
الخاسرون,11
كيف,62
تكفرون,12
وكنتم,8
امواتا,2
فاحياكم,1
ثم,340
يميتكم,4
يحييكم,5
إليه,76
ترجعون,19
هو,265
خلق,83
جميعا,49
استوىا,9
إلى,140
فسوىاهن,1
سبع,14
سماوات,5
وهو,171
بكل,34
عليم,106
وإذ,72
قال,416
ربك,220
للملائكة,9
إني,131
جاعل,2
خليفة,2
اتجعل,1
يفسد,1
ويسفك,1
الدماء,1
ونحن,15
نسبح,1
بحمدك,1
ونقدس,1
لك,71
اعلم,55
وعلم,2
ءادم,15
الاسماء,5
كلها,5
عرضهم,1
على,242
الملائكة,38
فقال,27
انبوني,1
باسماء,1
هاؤلاء,41
سبحانك,9
علم,60
لنا,83
علمتنا,1
إنك,50
انت,55
العليم,32
الحكيم,42
ياادم,4
انبئهم,1
باسمائهم,2
انباهم,1
اقل,6
غيب,6
السماوات,182
والارض,157
واعلم,4
تبدون,3
تكتمون,5
قلنا,14
اسجدوا,6
لادم,5
فسجدوا,5
إبليس,9
ابىا,3
واستكبر,3
وكان,84
الكافرين,52
وقلنا,6
اسكن,2
وزوجك,2
الجنة,56
وكلا,10
رغدا,3
حيث,29
شئتما,2
تقربا,2
هاذه,46
الشجرة,7
فتكونا,2
الظالمين,64
فازلهما,1
الشيطان,63
عنها,24
فاخرجهما,1
كانا,2
اهبطوا,4
بعضكم,20
لبعض,9
عدو,23
ولكم,19
مستقر,5
ومتاع,3
حين,29
فتلقىا,2
ربه,73
كلمات,3
فتاب,5
عليه,146
إنه,147
التواب,6
فإما,7
ياتينكم,3
مني,11
فمن,90
تبع,4
هداي,2
خوف,16
يحزنون,13
وكذبوا,10
باياتنا,57
اصحاب,62
يابني,20
إسراءيل,42
اذكروا,9
نعمتي,6
عليكم,164
واوفوا,5
بعهدي,1
اوف,1
بعهدكم,1
وإياي,3
فارهبون,2
وءامنوا,7
انزلت,9
مصدقا,11
لما,74
تكونوا,21
اول,20
كافر,3
تشتروا,3
باياتي,4
ثمنا,10
قليلا,55
فاتقون,4
تلبسوا,1
بالباطل,9
وتكتموا,1
واقيموا,11
وءاتوا,15
الزكواة,26
واركعوا,1
مع,58
الراكعين,2
اتامرون,1
بالبر,2
وتنسون,2
انفسكم,38
تتلون,1
افلا,45
تعقلون,24
واستعينوا,1
بالصبر,4
والصلواة,3
وإنها,2
لكبيرة,2
الخاشعين,1
يظنون,5
انهم,41
ملاقوا,3
وانهم,5
راجعون,4
واني,2
فضلتكم,2
واتقوا,42
يوما,16
تجزي,2
نفس,47
عن,223
شيا,77
يقبل,6
شفاعة,6
يؤخذ,4
عدل,7
ينصرون,13
نجيناكم,1
ءال,22
فرعون,65
يسومونكم,3
سوء,30
العذاب,85
يذبحون,1
ابناءكم,4
ويستحيون,3
نساءكم,3
وفي,33
ذالكم,44
بلاء,4
فرقنا,1
البحر,23
فانجيناكم,1
واغرقنا,4
تنظرون,7
واعدنا,1
موسىا,91
اربعين,4
ليلة,8
اتخذتم,5
العجل,6
بعده,21
ظالمون,7
عفونا,1
عنكم,24
تشكرون,19
ءاتينا,19
موسى,14
والفرقان,2
تهتدون,6
لقومه,13
ياقوم,38
إنكم,31
ظلمتم,2
باتخاذكم,1
فتوبوا,1
بارئكم,2
فاقتلوا,2
خير,116
عند,119
قلتم,9
ياموسىا,22
لن,59
نؤمن,10
حتىا,142
نرى,1
جهرة,3
فاخذتكم,1
الصاعقة,3
بعثناكم,1
موتكم,1
وظللنا,2
الغمام,3
وانزلنا,12
المن,3
والسلوىا,3
كلوا,15
طيبات,7
رزقناكم,7
ظلمونا,2
يظلمون,28
ادخلوا,14
القرية,10
فكلوا,7
شئتم,5
وادخلوا,3
الباب,6
سجدا,11
وقولوا,8
حطة,2
نغفر,2
خطاياكم,2
وسنزيد,1
المحسنين,30
فبدل,2
ظلموا,42
قولا,19
فانزلنا,3
رجزا,3
يفسقون,5
استسقىا,1
فقلنا,6
اضرب,3
بعصاك,3
الحجر,4
فانفجرت,1
منه,88
اثنتا,2
عشرة,5
عينا,6
قد,126
اناس,5
مشربهم,2
واشربوا,7
رزق,6
تعثوا,5
مفسدين,5
نصبر,1
طعام,11
واحد,18
فادع,2
يخرج,17
تنبت,3
بقلها,1
وقثائها,1
وفومها,1
وعدسها,1
وبصلها,1
اتستبدلون,1
ادنىا,8
بالذي,11
مصرا,1
سالتم,1
وضربت,2
الذلة,2
والمسكنة,1
وباءو,2
بغضب,4
بانهم,26
يكفرون,12
بايات,34
ويقتلون,5
النبين,9
بغير,41
عصوا,3
وكانوا,35
يعتدون,3
هادوا,10
والنصارىا,5
والصابين,2
واليوم,23
وعمل,11
صالحا,36
فلهم,6
اجرهم,12
اخذنا,12
ميثاقكم,4
ورفعنا,5
فوقكم,6
الطور,8
خذوا,5
ءاتيناكم,3
بقوة,6
واذكروا,13
توليتم,8
فلولا,13
فضل,31
ورحمته,7
لكنتم,1
الخاسرين,13
ولقد,129
علمتم,6
اعتدوا,1
منكم,107
السبت,5
كونوا,9
قردة,2
خاسين,2
فجعلناها,2
نكالا,2
بين,80
يديها,1
خلفها,1
وموعظة,5
يامركم,5
تذبحوا,1
بقرة,4
اتتخذنا,1
هزوا,11
اعوذ,6
اكون,9
الجاهلين,6
ادع,6
يبين,17
هي,47
إنها,15
فارض,1
بكر,1
عوان,1
فافعلوا,1
تؤمرون,2
لونها,2
صفراء,1
فاقع,1
تسر,1
الناظرين,1
البقر,3
تشابه,2
علينا,51
وإنا,33
لمهتدون,2
ذلول,1
تثير,1
تسقي,1
الحرث,4
مسلمة,4
شية,1
الان,5
جئت,6
بالحق,74
فذبحوها,1
كادوا,4
يفعلون,13
قتلتم,3
نفسا,14
فاداراتم,1
مخرج,3
اضربوه,1
ببعضها,1
كذالك,86
يحي,18
الموتىا,16
ويريكم,2
ءاياته,31
قست,2
قلوبكم,14
فهي,5
كالحجارة,1
اشد,28
قسوة,1
الحجارة,1
يتفجر,1
يشقق,1
فيخرج,1
الماء,17
يهبط,1
خشية,6
بغافل,9
عما,47
تعملون,83
افتطمعون,1
يؤمنوا,12
وقد,43
كان,333
فريق,13
منهم,153
يسمعون,20
كلام,3
يحرفونه,1
عقلوه,1
خلا,2
بعضهم,33
بعض,61
اتحدثونهم,1
فتح,2
ليحاجوكم,1
اولا,3
يعلم,71
يسرون,4
يعلنون,6
ومنهم,26
اميون,1
اماني,2
فويل,9
للذين,80
يكتبون,5
بايديهم,3
يقولون,51
ليشتروا,1
كتبت,2
ايديهم,33
وويل,3
يكسبون,14
وقالوا,61
تمسنا,2
اياما,3
معدودة,3
قل,294
عهدا,4
فلن,22
يخلف,6
عهده,1
تقولون,6
بلىا,22
كسب,3
سيئة,12
واحاطت,1
خطيته,1
فاولائك,46
ميثاق,9
بني,31
تعبدون,20
وبالوالدين,4
إحسانا,6
وذي,1
القربىا,12
واليتامىا,7
والمساكين,9
للناس,51
حسنا,23
معرضون,14
تسفكون,1
دماءكم,1
تخرجون,5
دياركم,4
اقررتم,1
تشهدون,3
انتم,76
تقتلون,4
وتخرجون,1
فريقا,10
ديارهم,9
تظاهرون,2
بالإثم,5
والعدوان,5
ياتوكم,1
اسارىا,1
تفادوهم,1
محرم,1
إخراجهم,1
افتؤمنون,1
ببعض,15
وتكفرون,1
جزاء,26
يفعل,17
خزي,6
الحيواة,63
الدنيا,115
ويوم,44
القيامة,71
يردون,2
بالاخرة,21
يخفف,7
عنهم,75
وقفينا,3
بالرسل,1
وءاتينا,7
عيسى,9
ابن,28
مريم,29
البينات,11
وايدناه,2
بروح,4
القدس,4
افكلما,1
جاءكم,25
رسول,52
تهوىا,2
استكبرتم,1
ففريقا,1
كذبتم,2
وفريقا,3
قلوبنا,6
غلف,2
بل,127
لعنهم,5
بكفرهم,4
فقليلا,1
ولما,32
جاءهم,41
كتاب,47
مصدق,5
معهم,14
يستفتحون,1
عرفوا,2
فلعنة,1
بئسما,3
يكفروا,3
بغيا,8
ينزل,17
فضله,28
يشاء,116
عباده,25
فباءو,1
غضب,8
وللكافرين,5
مهين,12
ويكفرون,1
وراءه,1
فلم,16
انبياء,2
مؤمنين,34
بالبينات,24
واسمعوا,4
سمعنا,16
وعصينا,2
إيمانكم,6
كانت,28
الدار,13
الاخرة,71
خالصة,4
فتمنوا,2
يتمنوه,1
ابدا,28
قدمت,16
بالظالمين,5
ولتجدنهم,1
احرص,1
حيواة,4
اشركوا,12
يود,5
احدهم,7
لو,78
يعمر,4
الف,8
سنة,14
بمزحزحه,1
بصير,27
يعملون,56
عدوا,11
لجبريل,1
فإنه,15
نزله,2
قلبك,3
بإذن,23
يديه,17
وهدى,15
وبشرىا,5
للمؤمنين,15
