translation,Surah,Juz
به نام خداوند رحمتگر مهربان,1,1
آنان كه به غيب ايمان مى‌آورند، و نماز را بر پا مى‌دارند، و از آنچه به ايشان روزى داده‌ايم انفاق مى‌كنند؛,3,1
و آنگاه كه از شما پيمان محكم گرفتيم، و [كوه‌] طور را بر فراز شما برافراشتيم، [و گفتيم:] «آنچه را به شما داده‌ايم به جد و جهد بگيريد، و [به دستورهاى آن‌] گوش فرا دهيد.» گفتند: «شنيديم و نافرمانى كرديم.» و بر اثر كفرشان، [مِهر ]گوساله در دلشان سرشته شد. بگو: «اگر مؤمنيد [بدانيد كه‌] ايمانتان شما را به بد چيزى وامى‌دارد.»,93,1
و ميان آن دو [گروه‌]، حايلى است، و بر اعراف، مردانى هستند كه هر يك [از آن دو دسته‌] را از سيمايشان مى‌شناسند، و بهشتيان را -كه هنوز وارد آن نشده و[لى‌] [بدان‌] اميد دارند- آواز مى‌دهند كه: «سلام بر شما.»,46,8
و چون چشمانشان به سوى دوزخيان گردانيده شود، مى‌گويند: «پروردگارا، ما را در زمره گروه ستمكاران قرار مده.»,47,8
و اهل اَعراف، مردانى را كه آنان را از سيمايشان مى‌شناسند، ندا مى دهند [و] مى‌گويند: «جمعيّت شما و آن [همه‌] گردنكشى كه مى‌كرديد، به حال شما سودى نداشت.»,48,8
«آيا اينان همان كسان نبودند كه سوگند ياد مى‌كرديد كه خدا آنان را به رحمتى نخواهد رسانيد؟» « [اينك‌] به بهشت درآييد. نه بيمى بر شماست و نه اندوهگين مى‌شويد.»,49,8
و دوزخيان، بهشتيان را آواز مى‌دهند كه: «از آن آب يا از آنچه خدا روزىِ شما كرده، بر ما فرو ريزيد.» مى‌گويند: «خدا آنها را بر كافران حرام كرده است.»,50,8
همانان كه دين خود را سرگرمى و بازى پنداشتند، و زندگى دنيا مغرورشان كرد. پس همان گونه كه آنان ديدار امروز خود را از ياد بردند، و آيات ما را انكار مى‌كردند، ما [هم‌] امروز آنان را از ياد مى‌بريم.,51,8
و در حقيقت، ما براى آنان كتابى آورديم كه آن را از روى دانش، روشن و شيوايش ساخته‌ايم، و براى گروهى كه ايمان مى‌آورند هدايت و رحمتى است.,52,8
آيا [آنان‌] جز در انتظار تأويل آنند؟ روزى كه تأويلش فرا رسد، كسانى كه آن را پيش از آن به فراموشى سپرده‌اند مى‌گويند: «حقاً فرستادگان پروردگار ما حق را آوردند. پس آيا [امروز] ما را شفاعتگرانى هست كه براى ما شفاعت كنند يا [ممكن است به دنيا] بازگردانيده شويم، تا غير از آنچه انجام مى‌داديم انجام دهيم؟» به راستى كه [آنان‌] به خويشتن زيان زدند، و آنچه را به دروغ مى‌ساختند از كف دادند.,53,8
در حقيقت، پروردگار شما آن خدايى است كه آسمانها و زمين را در شش روز آفريد؛ سپس بر عرش [جهاندارى‌] استيلا يافت. روز را به شب -كه شتابان آن را مى طلبد- مى‌پوشاند، و [نيز] خورشيد و ماه و ستارگان را كه به فرمان او رام شده‌اند [پديد آورد]. آگاه باش كه [عالم‌] خلق و امر از آن اوست. فرخنده خدايى است پروردگار جهانيان.,54,8
پروردگار خود را به زارى و نهانى بخوانيد كه او از حدگذرندگان را دوست نمى‌دارد.,55,8
بگو: «اگر در نزد خدا، سراى بازپسين يكسر به شما اختصاص دارد، نه ديگر مردم، پس اگر راست مى‌گوييد آرزوى مرگ كنيد.»,94,1
و در زمين پس از اصلاح آن فساد مكنيد، و با بيم و اميد او را بخوانيد كه رحمت خدا به نيكوكاران نزديك است.,56,8
و اوست كه بادها را پيشاپيش [باران‌] رحمتش مژده‌رسان مى‌فرستد، تا آن گاه كه ابرهاى گرانبار را بردارند، آن را به سوى سرزمينى مرده برانيم، و از آن، باران فرود آوريم؛ و از هر گونه ميوه‌اى [از خاك ]برآوريم. بدينسان مردگان را [نيز از قبرها] خارج مى‌سازيم، باشد كه شما متذكر شويد.,57,8
